product_no,product_code,product_name,product_name.1,eng_product_name,model_name,category_name,분류구분1,분류구분2,summary_description,product_detail
152,P00000FW,[ NEW ] 솝 누드 쿠션 + 밀키 톤업 베이스 SET,[ NEW ] 솝 누드 쿠션 + 밀키 톤업 베이스 SET,,,FACE,FACE,,피부에 쏙 흡수돼서 맑은 속광과 우윳빛 커버를 완성,"마케팅 카피: 촉촉하고 부드러운 피부결을 선사하며, 완벽한 애프터 샤워 모멘트를 경험하게 해줍니다. 비누처럼 맑고 깨끗한 피부 표현.
사용감: 수분감 있는 제형으로 뻑뻑하지 않고 부드럽게 발려 모공끼임이나 건조함이 없으며, 자연스러운 톤업 효과를 제공합니다.
메이크업 표현력: 맑고 깨끗한 피부톤을 연출하며, 인위적인 톤업이 아닌 자연스러운 피부 표현이 가능. 매끈하고 화사한 피부결과 톤을 맞추며, 피부 밀착력을 높여줍니다.
기술력: 프라이밍 젤과 탄력 스킨케어 기능을 포함, 피지 조절 파우더로 오일을 컨트롤하여 맑은 색감을 유지하면서도 번들거림을 방지. 속광을 살리고 보송한 피부 상태를 유지시켜 줍니다.
색상 종류 및 특징:
01 에그 솝: 내추럴 톤업으로 우윳빛 맑음을 강조하며, 웜톤에 추천.
02 블루 솝: 푸른 하늘과 같은 밀키한 톤을 연출, 청량한 피부 표현에 적합하며 쿨톤에 추천.
세트상품 사용팁: 솝 누드 베이스와 쿠션을 함께 사용하면 밀착력과 커버력이 극대화되며, 더욱 매끈하고 화사한 피부 톤을 완성할 수 있습니다."
151,P00000FV,[NEW] 솝 누드 밀키 톤업 베이스 SPF30/PA++,[NEW] 솝 누드 밀키 톤업 베이스 SPF30/PA++,,,FACE,FACE,,뻑뻑함없이 부드럽게 흡수되고 매끈하게 요철을 커버하는 톤업 베이스,"마케팅 카피: 촉촉하고 부드러운 피부결을 선사하며, 완벽한 애프터 샤워 모멘트를 경험하게 해줍니다. 비누처럼 맑고 깨끗한 피부 표현.
사용감: 수분감 있는 제형으로 뻑뻑하지 않고 부드럽게 발려 모공끼임이나 건조함이 없으며, 자연스러운 톤업 효과를 제공합니다.
메이크업 표현력: 맑고 깨끗한 피부톤을 연출하며, 인위적인 톤업이 아닌 자연스러운 피부 표현이 가능. 매끈하고 화사한 피부결과 톤을 맞추며, 피부 밀착력을 높여줍니다.
기술력: 프라이밍 젤과 탄력 스킨케어 기능을 포함, 피지 조절 파우더로 오일을 컨트롤하여 맑은 색감을 유지하면서도 번들거림을 방지. 속광을 살리고 보송한 피부 상태를 유지시켜 줍니다.
색상 종류 및 특징:
01 에그 솝: 내추럴 톤업으로 우윳빛 맑음을 강조하며, 웜톤에 추천.
02 블루 솝: 푸른 하늘과 같은 밀키한 톤을 연출, 청량한 피부 표현에 적합하며 쿨톤에 추천.

사용자 리뷰: 부드럽고 자연스러운 발림성, 인위적이지 않은 깨끗한 피부톤 연출."
150,P00000FU,[ NEW ] 솝 누드 쿠션 SPF42/PA++,[ NEW ] 솝 누드 쿠션 SPF42/PA++,,,FACE,FACE,,피부에 쏙 흡수돼서 맑은 속광과 우윳빛 커버를 완성,"마케팅 카피: 샤워 후 맑고 투명한 피부 표현을 위한 애프터 샤워 컬렉션. 비누 유화 기술로 더 완벽한 피부를 경험하세요.
사용감: 밀착력과 지속력이 뛰어나며, 매끈한 피부결을 구현합니다. 얇게 발리면서도 모공과 잡티를 균일하게 커버해줍니다.
메이크업 표현력 및 연출팁: 피부에 우윳빛 광채를 더해 자연스럽고 투명한 커버를 제공합니다. 여러 번 덧발라도 들뜸 없이 깔끔하게 레이어링 가능.
기술력: 비누 유화 기술을 적용한 제형으로 얇고 밀착되는 화장막을 형성합니다. 아미노산 유도체 코팅 파우더와 피지 조절을 돕는 성분으로 지속력을 강화.
색상 종류 및 특징: 01 아이보리 솝, 02 바닐라 솝, 03 내추럴 솝, 각 색상은 피부톤에 맞춰 자연스러운 광채를 선사합니다.
추가 특징: 스킨케어 성분(병풀추출물, 세라마이드, 장미추출물)이 74% 함유되어 피부 진정과 보습에 도움을 줍니다.
사용법: 라운딩 쉐입의 퍼프를 사용하여 피부 곡선에 맞춰 정교하게 메이크업을 할 수 있습니다."
143,P00000FN,[ NEW ] 립 포션 밀크 펄 글로스 (4 Colors),[ NEW ] 립 포션 밀크 펄 글로스 (4 Colors),,,Milk Pearl,LIP,Milk Pearl,우유빛 하늘에 별을 갈아 넣은 영롱한 빛,"상품명: [ NEW ] 립 포션 밀크 펄 글로스 (4 Colors)

특징 요약:

마케팅 카피: 부드럽고 우유 같은 펄 글로스로 신비한 진주 광채를 연출하며 풍성한 볼륨감 있는 입술을 완성합니다.
사용감: 촉촉하고 도톰한 플럼핑 효과를 제공하여 입술 주름 사이사이를 매끈하게 채워줍니다. 은은한 온열감이 느껴지며 편안한 착용감을 제공합니다.
메이크업 표현력 및 연출팁: 투명하고 빛나는 밀크 펄이 입술에 윤기와 광택을 더해 생기 있는 이미지를 연출합니다. 입술을 더욱 도톰하고 볼륨감 있게 표현할 수 있습니다.
기술력: 콜라겐 추출물과 펩타이드가 함유되어 입술을 매끈하고 촉촉하게 유지합니다.
색상 종류 및 특징:
01 소다 문: 안개 속 푸른 달빛을 연상시키는 은은한 블루 컬러.
02 핑크 문: 스트로베리 핑크 달빛 컬러로 부드럽고 밝은 느낌.
03 라벤더 문: 꿈같은 라벤더 톤으로 신비로운 진주 광채.
04 누가 문: 따뜻한 누가톤으로 차분한 분위기 연출.
컬러 믹스 추천: 다양한 색상의 펄을 혼합하여 개성 있는 메이크업을 연출할 수 있습니다.
사용법: 입술에 적당량을 도포한 후 부드럽게 펴 발라 볼륨감과 광택을 극대화하세요."
139,P00000FJ,립 포션 스티밍 밀크 2종 SET,립 포션 스티밍 밀크 2종 SET,Lip Potion Steaming Milk SET,립 포션 스티밍 밀크 2종 SET,SET,LIP,SET,즉각적인 수분 공급 및 각질을 잠재우는 립 보습 프라이머 밤,"[상품명] 립 포션 스티밍 밀크 2종 SET

[마케팅 카피]
립 포션 스티밍 밀크 2종 세트는 입술에 즉각적인 보습과 탄탄함을 선사하는 스팀 케어 솔루션입니다. 민감하고 건조한 입술을 빠르게 진정시키고, 끈적임 없이 오랜 시간 촉촉한 입술로 유지해줍니다. 자연스럽게 스며드는 밀크 텍스처와 고농축 밤 제형으로, 매일 입술을 생기 있고 건강하게 가꿀 수 있습니다. 지속 가능한 친환경 패키지로 아름다움뿐 아니라 환경 보호에도 앞장섭니다.

[사용감]
스티밍 밀크는 부드러운 리퀴드 텍스처로 발림성과 흡수력이 뛰어나며, 입술에 닿는 순간 시원하고 촉촉한 느낌을 줍니다. 고영양 밤은 도톰한 제형으로 입술 표면에 막을 형성해, 건조함을 방지하고 오래도록 보습을 유지해줍니다. 특히, 끈적임 없이 빠르게 흡수되어 메이크업 전후 모두 사용할 수 있어 입술을 산뜻하고 부드럽게 유지합니다.

[메이크업 표현력 및 연출팁]
립 포션 스티밍 밀크는 입술의 자연스러운 톤을 보정하고, 메이크업의 발색을 더욱 선명하게 만들어줍니다. 스티밍 밀크를 먼저 도포해 입술을 촉촉하게 한 뒤, 립 포션 틴트를 덧발라 유리알 같은 광택을 연출할 수 있습니다. 립밤처럼 메이크업 위에 덧발라도 광택을 더하고 입술을 보호할 수 있어, 매끄럽고 볼륨감 있는 입술을 완성합니다. 덧바를 때 손등에 덜어 위생적으로 사용하면 좋습니다.

[기술력]
Balm in Liquid 기술로, 리퀴드 텍스처가 입술에 자연스럽게 스며들어 수분을 빠르게 공급합니다. 또한 입술 표면에 고농축 보습막을 형성해 건조하고 민감한 입술을 효과적으로 케어합니다. 항산화 성분이 함유되어 있어, 입술 속부터 탄력과 건강함을 유지하는 데 도움을 줍니다. 환경을 고려한 미네랄 펄프와 식물성 잉크를 사용한 친환경 패키지로, 지속 가능한 뷰티 제품을 추구합니다.

[색상 종류 및 각 색상별 특징]
립 포션 스티밍 밀크 세트는 주로 보습과 케어에 중점을 둔 제품으로 색상 자체는 제공되지 않지만, 립 포션 틴트와 함께 사용할 경우 립 제품의 발색력을 높이고, 입술의 광택을 극대화해 색상 표현이 더 선명해집니다.

[컬러 믹스에 대한 추천]
립 포션 스티밍 밀크로 입술을 촉촉하게 한 후, 틴트나 립스틱과 함께 사용하면 색상의 깊이와 생동감을 높일 수 있습니다. 특히, 글로시한 효과를 원할 때는 틴트와 립 포션 밤을 함께 사용하여 입술에 유리알 같은 윤기를 부여하는 것이 좋습니다.

[사용법]

스티밍 밀크 도포: 먼저 스티밍 밀크를 입술에 적당량 도포하고 손가락으로 톡톡 두드려 흡수시킵니다.
밀크 밤 덧바르기: 스티밍 밀크가 흡수되면 밀크 밤을 덧발라 입술을 더 촉촉하고 탱탱하게 유지합니다.
메이크업 연출: 입술에 자연스러운 광택을 더하고 싶을 때는 립 포션 틴트를 바른 뒤, 그 위에 밀크 밤을 덧발라 유리알 같은 광택을 연출할 수 있습니다.
[세트상품 사용팁 (같이 사용하면 좋을 포인트)]
스티밍 밀크와 밀크 밤을 함께 사용하면 더욱 깊고 풍부한 보습 효과를 얻을 수 있습니다. 스티밍 밀크로 입술을 촉촉하게 케어한 후, 밀크 밤을 덧발라 입술을 보호하고 탱탱한 입술을 연출하세요. 건조한 날씨나 밤 동안 사용하는 나이트 케어 루틴으로도 적합하며, 메이크업 전후에도 입술을 부드럽고 건강하게 관리할 수 있습니다."
136,P00000FG,바미 로즈 & 스티밍 밀크 2종 SET,바미 로즈 & 스티밍 밀크 2종 SET,,립 포션 아쿠아 글로우,SET,LIP,SET,고보습 광택과 케어를 동시에~,"[상품명] 바미 로즈 & 스티밍 밀크 2종 SET

마케팅 카피:
이 세트는 ""바미 로즈 립 포션""과 ""스티밍 밀크""로 구성되어, 장미의 부드러움과 촉촉한 밀크 제형의 보습을 결합한 프리미엄 립 케어 제품입니다. 장미 꽃잎의 생생한 색감을 입술에 담아내고, 스팀 처리된 듯한 깊은 보습을 제공하여 하루 종일 생기 넘치는 입술을 연출할 수 있습니다.

사용감:
바미 로즈 립 포션은 부드러운 크림 텍스처로 입술에 가볍게 밀착됩니다. 스티밍 밀크는 입술에 즉각적으로 스며들어 끈적이지 않으며, 촉촉한 보습막을 형성하여 입술을 부드럽게 보호합니다. 두 제품 모두 건조한 입술에 깊은 보습을 제공해 오랜 시간 촉촉함이 유지됩니다.

메이크업 표현력 및 연출 팁:
바미 로즈는 자연스럽고 은은한 로즈 컬러를 입술에 부여하며, 스티밍 밀크는 광택과 보습을 더해 입술을 매끈하고 생기 있게 만들어 줍니다. 립 포션의 컬러는 맑고 투명한 광택을 주어 입술을 돋보이게 하며, 스티밍 밀크를 덧발라 더욱 깊은 보습 효과와 촉촉한 윤기를 연출할 수 있습니다. 메이크업을 할 때 립 포션을 단독으로 사용하거나, 틴트 위에 스티밍 밀크를 덧발라 입술을 생기있고 도톰하게 표현할 수 있습니다.

기술력:
이 제품은 5단계 세럼 공정을 통해 만들어져 입술에 깊숙이 스며드는 보습 효과를 제공합니다. 특히 스티밍 밀크는 각질을 부드럽게 연화시키고, 입술 표면에 촉촉한 보습막을 형성하여 주름 사이를 채워주고 탄력을 부여합니다. 바르자마자 즉각적인 수분 공급과 함께 각질 정돈 효과가 나타납니다.

색상 종류 및 각 색상별 특징:
07 티 로즈: 로지 컬러로 신선하게 따낸 장미 꽃잎처럼 부드럽고 자연스러운 색감.
08 피치 샤워: 햇살 아래 피어나는 달콤하고 여린 코랄 오렌지 컬러로 밝고 경쾌한 느낌을 연출.
09 프레쉬 로즈: 물기 가득한 베리 레드 로즈 컬러로 생동감 있고 청량한 매력을 부각.
10 라일락 로즈: 오묘한 모브빛을 띤 세련된 로지 모브 컬러로 고급스럽고 차분한 인상을 줌.
컬러 믹스에 대한 추천:
01 베이비 로즈 + 02 블러쉬 핑크: 맑고 청아한 장미 컬러 조합으로, 자연스럽고 생기 있는 입술 연출.
04 허니 코랄 + 06 로즈 힙: 맑고 생기 있는 자몽 컬러 조합으로 경쾌한 느낌을 주며, 여름철 메이크업에 잘 어울림.
01 베이비 로즈 + 09 프레쉬 로즈: 크리미한 장미 컬러에 생기를 더해, 생동감 넘치는 리얼 프레쉬 로즈 입술 표현.
08 피치 샤워 + 05 피치 브뤨레: 부드러운 코랄 컬러와 함께 물기 어린 장미 컬러를 더해 산뜻하고 생기 있는 립 메이크업 완성.
사용법 (How to Use):
먼저 립 포션을 입술 안쪽부터 자연스럽게 바릅니다. 입술 전체에 골고루 펴 발라 매끄럽게 연출합니다.
이후, 스티밍 밀크 밤을 덧발라 깊은 보습과 촉촉한 윤기를 더해 줍니다. 손가락으로 톡톡 두드리면 흡수력이 더욱 높아집니다.
틴트나 립스틱 위에 스티밍 밀크를 덧발라 유리 같은 광택을 표현할 수 있습니다.
세트상품 사용팁 (같이 사용하면 좋을 포인트):
립 포션과 스티밍 밀크를 함께 사용하여 입술에 수분과 생기를 동시에 제공합니다. 립 포션으로 색을 먼저 입힌 후 스티밍 밀크를 덧바르면 보습과 광택이 더해져 더욱 건강하고 도톰한 입술을 연출할 수 있습니다.
하루 동안 립 메이크업의 지속력을 높이기 위해, 먼저 스티밍 밀크로 입술을 부드럽게 정돈한 후 립 포션을 발라 마무리하면 더욱 선명하고 오랜 시간 유지되는 메이크업이 가능합니다."
135,P00000FF,립 포션 바미 로즈 2종 SET ( 11 Colors ),립 포션 바미 로즈 2종 SET ( 11 Colors ),,립 포션 바미 로즈,SET,LIP,SET,부드럽게 스며드는 여린 장밋빛 생기,"[상품명] 립 포션 바미 로즈 2종 SET (11 Colors)

마케팅 카피
립 포션 바미 로즈는 부드럽고 촉촉한 발림성과 고보습 효과로 매력적이고 자연스러운 립 메이크업을 완성할 수 있는 제품입니다. 프로페셔널 메이크업 아티스트가 추천한 이 제품은 생기 있는 색조와 얇은 광택을 특징으로 하며, 입술에 자연스러운 생기를 부여합니다.

사용감
부드러운 크림 텍스처로 입술에 스며들며, 빠르게 흡수되어 오래 지속됩니다. 고보습 밤이 녹아있는 액체밤 제형으로 일반 틴트 대비 점도가 높아 촉촉한 발림성을 자랑합니다. 입술을 도톰하게 보이게 하며, 고보습 코팅 광택이 차오릅니다.

메이크업 표현력 및 연출팁
자연스러운 색감과 생기를 연출하며, 스킨케어처럼 뭉침 없이 부드럽게 레이어링이 가능합니다. 볼륨감 있는 입체적인 룩을 완성하며, 립뿐만 아니라 블러셔나 아이 섀도우로도 활용 가능하여 톤 온 톤 메이크업을 연출할 수 있습니다.

기술력
립 포션 바미 로즈는 푸딩처럼 부드럽고 광택감 있는 텍스처로 고보습 효과를 제공하며, 피부톤과 상관없이 자연스럽게 어우러집니다.

색상 종류 및 각 색상별 특징

01 Baby Rose: 맑고 청아한 장미 컬러
02 Blush Pink: 부드럽고 청초한 핑크색
03 Soft Mauve: 은은한 브라운 빛이 감도는 모브 플럼 색상
04 Honey Coral: 맑고 생기 있는 코랄색
05 Peach Brulee: 부드럽고 촉촉한 복숭아 컬러
06 Rose Hip: 섬세한 핑크색, 부드러운 틴팅 컬러
07 Tea Rose: 맑은 로즈빛에 티 브라운이 가미된 MLBB 핑크
08 Peach Shower: 복숭아 톤이 돋보이는 상큼한 컬러
09 Fresh Rose: 여린 장미에 물기 어린 생기를 더한 컬러
컬러 믹스에 대한 추천

01 Baby Rose + 02 Blush Pink: 청아하고 부드러운 장미 색상
04 Honey Coral + 08 Rose Hip: 생기 있는 자몽빛 컬러 조합
08 Peach Shower + 05 Peach Brulee: 신선하고 생기 넘치는 복숭아와 장미 컬러 믹스
사용법 (How to Use)
입술에 부드럽게 바르고 여러 겹 레이어링하여 원하는 색감과 광택을 연출하세요. 블러셔나 아이섀도우로 활용하여 톤 온 톤 메이크업을 연출할 수 있습니다.

세트상품 사용팁
두 가지 색상을 믹스하여 자신만의 맞춤형 컬러를 연출해보세요."
149,P00000FT,[ NEW ]  펄 글로스 & 아쿠아 글로우  2종 SET,[ NEW ]  펄 글로스 & 아쿠아 글로우  2종 SET,,,SET,LIP,SET,,"[상품명] [NEW] 펄 글로스 & 아쿠아 글로우 2종 SET

마케팅 카피: 몽환적이고 빛나는 펄과 수분감으로 자연스러운 생기와 광택을 연출하는 2종 세트. 입체적이고 볼륨감 있는 메이크업을 완성합니다.

사용감: 크림처럼 부드럽고 촉촉한 텍스처로 입술에 가볍게 밀착되며, 덧발라도 뭉침이나 끈적임 없이 자연스럽게 표현됩니다.

메이크업 표현력 및 연출팁: 자연스러운 광택과 생기를 더해 입체적인 룩을 완성하며, 블러셔나 아이 섀도우로도 활용 가능합니다. 스머드 체형 덕분에 경계 없이 레이어링 가능해 톤온톤 메이크업 연출에 적합합니다.

기술력: 스킨케어처럼 부드럽고 균일하게 발리며, 수분이 함유된 포뮬러로 보습력과 지속력이 뛰어납니다.

색상 종류 및 각 색상별 특징:

07 티 로즈: 맑은 로즈 빛에 연한 티 브라운이 섞인 MLBB 핑크.
05 피치 브륄레: 복숭아와 카라멜 옐로 색감이 섞인 브라운 피치 컬러.
06 로즈 힙: 발랄한 핑크빛 레드 컬러로 자연스럽고 생기 있는 느낌.
누가 문: 은은한 누드 베이지 컬러로 달빛 같은 부드러운 빛을 표현.
컬러 믹스에 대한 추천: 진한 립 컬러 위에 밀크 펄 토퍼를 덧발라 뽀얀 광택과 고급스러운 느낌을 더할 수 있습니다. 다양한 컬러를 믹스해 새로운 무드의 메이크업을 연출해 보세요.

사용법 (how to use): 입술 안쪽부터 바깥쪽으로 자연스럽게 발라줍니다. 여러 번 레이어링해도 경계 없이 깔끔하게 마무리됩니다.

세트상품 사용팁: 펄 글로스를 먼저 발라 광택을 더한 후, 아쿠아 글로우를 레이어링해 입술에 더욱 생기를 부여하세요."
147,P00000FR,[ NEW ]  펄 글로스 & 바미 로즈  2종 SET,[ NEW ]  펄 글로스 & 바미 로즈  2종 SET,,,SET,LIP,SET,,"[상품명] [NEW] 펄 글로스 & 바미 로즈 2종 SET

마케팅 카피:
꿈결 같은 글로시 라벤더와 장미의 컬러가 조화를 이룬 고급스러운 립 제품 세트로, 생기 있는 입술 연출을 도와줍니다. 신비로운 펄 광택과 부드러운 텍스처가 입술을 돋보이게 합니다.

사용감:
촉촉하고 부드러운 크림 제형으로, 입술에 자연스럽게 스며들며 주름 없이 매끈하고 볼륨감 있는 입술을 연출합니다. 고보습 효과가 있어 오랜 시간 보습을 유지합니다.

메이크업 표현력 및 연출팁:
컬러 위로 차오르는 고보습 광택막이 입술을 투명하고 반짝이게 해주며, 소프트한 색상으로 자연스러운 발색을 연출합니다. 컬러 믹스&매치를 통해 다양한 룩을 완성할 수 있습니다.

기술력:
콜라겐 추출물과 펩타이드가 함유되어 입술을 촉촉하고 건강하게 유지하며, 주름을 매끄럽게 해주는 기능이 있습니다. 크리미하고 소프트한 텍스처가 입술에 부드럽게 발립니다.

색상 종류 및 각 색상별 특징:

01 소다 문: 우윳빛 진주와 같은 반짝이는 누드 베이지.
02 핑크 문: 상상 속 스트로베리 핑크를 연상시키는 달빛 컬러.
03 라벤더 문: 은은한 라벤더 톤의 부드러운 빛.
04 누가 문: 부드럽고 밝은 누드 베이지로 달빛 같은 반짝임.
컬러 믹스에 대한 추천:

01 Baby Rose + 02 Blush Pink: 청아하고 자연스러운 장미 컬러 연출.
04 허니 코랄 + 06 로즈 힙: 생기 있는 자몽 컬러 연출.
사용법 (how to use):
입술 안쪽부터 자연스럽게 전체로 발라서 풍성한 볼륨과 매끈한 입술을 연출합니다. 진주 같은 광택이 오래 지속되며, 덧바르지 않아도 색상과 광택이 유지됩니다.

세트상품 사용팁:
펄 글로스를 먼저 바르고 그 위에 바미 로즈를 얹으면, 더욱 생기 있는 입술을 연출할 수 있습니다."
144,P00000FO,[ NEW ] 립 포션 밀크 펄 글로스 2종 SET (4 Colors),[ NEW ] 립 포션 밀크 펄 글로스 2종 SET (4 Colors),,,SET,LIP,SET,우유 빛 하늘에 별을 갈아 넣은 영롱한 빛,"[상품명] NEW 립 포션 밀크 펄 글로스 2종 SET (4 Colors)

[특징 요약]

마케팅 카피: ""밀크 펄 볼륨, 빛나는 진주, 달빛을 닮은 색""이라는 컨셉으로, 달빛 아래에서 빛나는 글로시하고 신비로운 립 표현을 강조합니다.

사용감: 부드럽고 촉촉한 발림성으로, 두꺼워진 입술 효과와 함께 자연스럽고 우아한 광택을 제공합니다.

메이크업 표현력 및 연출팁: 달빛에서 영감을 받은 컬러들이 입술에 빛나는 효과를 더해 고급스럽고 우아한 메이크업 연출이 가능합니다.

기술력: 밀크 펄과 진주 성분이 입술에 볼륨감을 부여하고, 미세한 펄감이 은은하게 빛나면서 자연스럽게 반짝이는 효과를 줍니다. 특히 플럼핑 효과로 입술 주름을 채워 도톰하고 매끈한 립을 연출합니다.

색상 종류 및 각 색상별 특징:

No. 01 소다 문 (Soda Moon): 우유빛의 펄과 볼륨, 밝은 톤의 색감.
No. 02 핑크 문 (Pink Moon): 사랑스러운 핑크 톤의 달빛을 닮은 컬러.
No. 03 라벤더 문 (Lavender Moon): 라벤더 꽃밭 위로 내리는 달빛을 닮은 라벤더 모브 컬러.
No. 04 누가 문 (Nuga Moon): 따뜻한 누드 톤의 달빛 색상.
컬러 믹스에 대한 추천: 각 컬러를 단독으로 사용하거나 서로 믹스하여 다양한 분위기의 메이크업을 연출할 수 있습니다. 특히 소다 문과 핑크 문을 함께 사용하면 생기 있는 메이크업이 가능합니다.

사용법: 입술 안쪽부터 바깥쪽으로 고르게 펴 발라 입술 전체에 촉촉함과 광택을 더합니다.

세트상품 사용팁: 립 포션 밀크 펄과 함께 아쿠아 글로우 제품을 사용하면 더욱 글로시한 효과를 얻을 수 있습니다"
138,P00000FI,립 포션 스티밍 밀크 밤,립 포션 스티밍 밀크 밤,Lip Potion Steaming Milk Balm,립 포션 스티밍 밀크,Steaming Milk,LIP,Steaming Milk,즉각적인 수분 공급 및 각질을 잠재우는 립 보습 프라이머 밤,"립 포션 스티밍 밀크 밤 요약

마케팅 카피:
립 포션 스티밍 밀크 밤은 스티밍 밀크와 고농축 밤 제형을 통해 즉각적이고 집중적인 립 케어를 제공합니다. 건조하고 푸석한 입술에 깊은 보습과 영양을 공급하여 매끈하고 건강한 입술을 연출합니다. 부드러운 밀크 색상으로 입술 결을 자연스럽게 케어하며, 탄력 있는 볼륨 효과를 제공합니다.

사용감:
실크처럼 부드러운 텍스처로, 끈적임 없이 매끄럽게 흡수됩니다. 립 컨디션을 빠르게 회복시키며, 아침이나 밤 모두 편하게 사용할 수 있는 텍스처입니다. 밀착력 있는 보습막을 형성하여 입술의 각질을 억제하고 오랜 시간 촉촉함을 유지합니다.

메이크업 표현력 및 연출 팁:
입술에 자연스러운 보습막을 형성하여 매끄러운 결을 연출합니다. 립 메이크업 전 바르면 입술 톤을 보정하고 발색력을 높여줍니다.

기술력:
5단계 세럼 공정으로 완성된 고농축 페이스트는 하이드로 콜라겐과 펩타이드를 함유하여 입술에 탄력과 볼륨을 부여합니다. 70% 점형의 고밀도 성분이 깊숙이 흡수되어 지속적인 보습과 케어 효과를 제공합니다.

사용법:
STEP 1: 스티밍 밀크를 입술에 먼저 바릅니다.
STEP 2: 그 위에 밀크 밤을 덧발라 잘 흡수되도록 합니다.
이 두 단계를 통해 즉각적인 립 컨디션 회복과 입술 톤 보정, 깊은 보습을 느낄 수 있습니다.

세트상품 사용팁:
스티밍 밀크와 밀크 밤을 함께 사용하면, 각질을 부드럽게 케어하고 입술을 더욱 촉촉하게 유지할 수 있습니다."
